id,cust_id_occurrence_count,canceled_line_flag,cust_cancellation_count,line_subscription_duration_days,line_one_time_purchase_flag,first_cust_sale_date,last_cust_sale_date,repeat_cust_flag,count_of_unique_lifetime_products,first_subscription_flag,subscription_occurrence_count,total_cust_lifetime_length_days,customer_subscription_change_flag,product_id,user_id,plan_start_type,plan_end_type,plan_start_date,plan_end_date,product_name,product_type,quantity,price,starter_set_count,other_set_count,blade_count,handle_count,shave_gel_count,shave_cream_count,face_wash_count,aftershave_count,lip_balm_count,razor_stand_count,face_lotion_count,travel_kit_count
1550514,1,False,0,171.4,False,2016-08-14 04:18:21.904,2016-08-14 04:18:21.904,False,1,True,1,171.4,False,511,123202,web,on_going,2016-08-14 04:18:21.904,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1505227,1,False,0,184.5,False,2016-08-01 02:10:28.905,2016-08-01 02:10:28.905,False,1,True,1,184.5,False,511,124182,web,on_going,2016-08-01 02:10:28.905,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1541976,2,False,0,173.9,False,2016-08-11 17:02:03.435,2016-08-11 17:02:03.447,False,2,True,2,173.9,False,488,126928,web,on_going,2016-08-11 17:02:03.435,2017-02-01 14:24:00.000,HarrysBlades,Blades,1,8,0,0,4,0,0,0,0,0,0,0,0,0
1541977,2,False,0,173.9,False,2016-08-11 17:02:03.435,2016-08-11 17:02:03.447,False,2,False,2,173.9,False,508,126928,web,on_going,2016-08-11 17:02:03.447,2017-02-01 14:24:00.000,PostShaveBalm,Pre/Post Shave,1,5,0,0,0,0,0,0,0,1,0,0,0,0
1548462,1,False,0,171.9,False,2016-08-13 16:14:51.638,2016-08-13 16:14:51.638,False,1,True,1,171.9,False,511,128149,web,on_going,2016-08-13 16:14:51.638,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1551051,2,True,1,105.5,False,2016-08-14 13:42:30.485,2016-11-28 01:35:19.959,True,2,False,2,171.0,True,514,132309,web,web,2016-08-14 13:42:30.485,2016-11-28 01:35:19.973,Blades1GelPlan,Bundle,1,21,0,0,8,0,1,0,0,0,0,0,0,0
1886132,2,False,1,65.5,False,2016-08-14 13:42:30.485,2016-11-28 01:35:19.959,True,2,True,2,171.0,True,511,132309,web,on_going,2016-11-28 01:35:19.959,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1453284,2,True,1,2.09,False,2016-07-22 19:55:48.916,2016-07-24 22:04:28.354,True,1,True,2,193.8,False,511,137769,system,web,2016-07-22 19:55:48.916,2016-07-24 22:00:22.025,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1481740,2,False,1,191.7,False,2016-07-22 19:55:48.916,2016-07-24 22:04:28.354,True,1,False,2,193.8,False,511,137769,web,on_going,2016-07-24 22:04:28.354,2017-02-01 14:24:00.000,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
1433003,3,True,2,8.97,False,2016-07-22 19:52:56.244,2016-07-31 19:15:42.253,True,1,True,3,193.8,False,511,140852,system,web,2016-07-22 19:52:56.244,2016-07-31 19:09:17.387,BladesPlan,Blades,1,15,0,0,8,0,0,0,0,0,0,0,0,0
